community,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,RITUALISM,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
ALBANY PARK,16,831,1844,430,2,1432,81,191,766,1,19,1,16,14,3,9,540,221,0,5,110,0,632,7,0,31,0,322,65,17,2439,228
ARCHER HEIGHTS,12,347,626,161,0,435,25,56,386,0,5,0,4,4,3,4,277,36,0,1,45,0,230,2,0,24,0,141,22,5,971,153
ARMOUR SQUARE,10,378,801,177,2,540,13,86,366,1,15,0,7,4,1,17,352,60,0,1,17,0,157,0,0,24,0,446,17,3,1158,150
ASHBURN,19,950,1691,458,1,1201,50,179,1071,2,21,0,7,12,13,5,764,77,0,1,130,0,777,0,0,43,0,288,49,16,1706,303
AUBURN GRESHAM,70,3281,6813,1209,26,4100,181,622,1773,5,148,2,183,12,20,26,2156,765,0,7,325,0,2251,4,0,122,0,1038,122,45,4536,1662
AUSTIN,194,5852,13712,1591,18,7010,416,907,3424,20,294,2,229,41,28,26,4395,3181,1,9,529,0,4012,415,1,281,0,2818,278,67,8687,2731
AVALON PARK,13,568,1043,229,3,671,27,107,382,2,23,0,30,1,2,1,489,142,0,1,65,0,462,1,0,24,0,198,26,8,874,316
AVONDALE,14,647,1487,428,0,1082,38,179,769,0,12,0,7,9,4,6,553,120,0,4,69,0,568,1,1,24,0,405,60,9,2526,163
BELMONT CRAGIN,39,1721,3827,556,15,2205,128,297,1523,0,36,1,39,28,9,25,1465,554,1,7,242,0,1762,12,1,78,0,557,156,27,3531,728
BEVERLY,8,312,470,266,3,483,17,115,670,0,2,0,6,3,7,4,308,39,1,1,70,0,350,0,1,12,0,118,24,8,876,58
BRIDGEPORT,12,572,1040,378,2,994,44,121,721,0,10,0,14,10,8,10,367,105,0,2,45,0,408,2,0,17,0,206,36,16,1442,205
BRIGHTON PARK,37,929,2089,341,2,1335,55,123,623,0,39,1,12,17,6,7,542,155,0,5,198,0,727,1,1,23,0,398,71,17,1533,419
BURNSIDE,1,166,319,66,2,270,9,25,102,4,4,0,9,0,2,2,125,40,0,0,17,0,142,0,0,7,0,51,6,4,201,99
CALUMET HEIGHTS,15,575,1027,218,6,806,41,103,498,0,12,0,31,5,3,13,659,133,1,3,55,0,464,0,0,12,0,399,26,4,1041,325
CHATHAM,65,2982,5814,1164,26,3702,146,533,1466,3,120,2,110,4,19,4,2110,583,0,2,274,0,1750,2,1,113,0,1204,106,37,5049,1204
CHICAGO LAWN,82,2491,5081,1048,4,2959,172,380,1304,22,91,0,58,25,23,16,1430,683,1,7,270,0,1704,3,0,91,0,942,123,16,3699,1068
CLEARING,5,392,777,209,2,578,19,80,612,0,5,0,2,2,2,0,298,47,0,2,75,0,460,0,0,14,0,83,38,14,881,96
DOUGLAS,13,1188,2374,212,10,1225,71,229,820,2,28,0,42,15,6,7,1240,223,0,3,87,0,911,0,0,79,0,378,56,34,2836,369
DUNNING,23,566,1221,330,2,842,39,132,1074,0,13,0,6,11,9,14,404,79,0,3,73,0,701,2,1,13,0,82,56,19,1354,79
EAST GARFIELD PARK,39,1881,4230,445,9,2148,115,340,711,10,111,1,86,9,9,9,1344,1866,0,1,121,0,1101,19,0,94,1,845,63,30,2609,920
EAST SIDE,27,581,1093,149,2,751,21,106,278,0,19,1,20,6,9,8,295,86,0,2,62,0,500,0,0,16,0,115,26,12,782,250
EDGEWATER,7,988,2145,506,0,1197,116,322,1404,0,8,0,13,18,5,1,618,75,0,1,43,0,678,2,0,28,0,346,94,26,4077,43
EDISON PARK,1,81,189,62,0,122,10,51,291,1,3,0,0,6,1,3,47,4,0,0,20,0,125,0,0,5,0,5,12,4,239,2
ENGLEWOOD,78,2822,5940,736,29,2936,172,329,979,2,125,0,115,14,15,13,1483,923,0,1,268,0,1745,39,0,100,0,913,112,31,3044,1693
FOREST GLEN,3,178,262,200,0,268,9,83,566,0,1,0,3,1,1,0,99,16,0,3,18,0,157,0,0,8,0,22,12,3,567,25
FULLER PARK,17,363,627,74,2,351,16,91,215,0,18,0,26,3,5,1,251,139,0,1,24,1,174,0,0,27,0,185,13,5,527,193
GAGE PARK,31,942,1813,366,7,1154,60,145,502,0,31,1,21,16,6,7,550,180,0,5,145,0,662,0,1,37,0,385,84,14,1608,493
GARFIELD RIDGE,15,653,1186,329,138,1127,35,159,1203,0,13,0,6,6,2,5,481,163,0,5,74,0,514,146,0,48,0,185,47,17,1990,194
GRAND BOULEVARD,28,1506,3089,408,7,1948,73,234,933,1,43,1,49,4,10,6,1492,374,0,3,111,1,1183,28,1,82,0,492,69,30,2741,613
GREATER GRAND CROSSING,61,3163,6696,1095,17,3763,177,484,1245,3,143,4,158,9,20,18,2377,706,0,3,335,0,1889,0,2,106,0,1148,100,42,3948,1718
HEGEWISCH,13,284,566,90,3,377,9,63,222,0,1,0,4,1,2,3,190,17,0,2,52,0,279,0,0,5,0,45,24,5,523,48
HERMOSA,21,504,1161,190,1,711,40,74,486,0,8,1,21,9,5,4,506,156,0,2,115,0,524,0,0,35,0,239,53,8,1151,258
HUMBOLDT PARK,103,2616,6132,968,14,3238,180,517,1344,17,146,2,155,9,14,18,1839,4873,0,5,267,1,1926,34,0,190,0,1515,151,28,4346,1356
HYDE PARK,4,646,1099,279,2,848,78,122,818,0,7,1,8,6,5,1,770,42,0,5,49,0,528,0,0,17,0,484,49,24,2961,77
IRVING PARK,24,913,1928,505,3,1403,68,222,1061,1,12,0,7,13,2,16,728,196,0,7,99,1,820,1,1,24,0,324,81,21,3020,182
JEFFERSON PARK,9,363,729,200,1,510,28,125,691,0,1,1,4,7,1,4,240,49,0,3,28,2,392,0,0,17,0,93,33,17,1208,20
KENWOOD,8,672,1253,206,0,881,42,116,594,0,14,0,7,3,5,0,724,63,0,2,60,0,572,0,1,12,0,289,26,15,1678,125
LAKE VIEW,31,1354,3274,995,16,2111,246,706,3122,0,8,0,28,37,6,51,1459,114,0,6,48,1,994,0,1,113,0,895,128,48,9926,101
LINCOLN PARK,24,738,1514,827,3,1508,91,383,2001,2,5,1,2,14,8,34,969,69,0,6,24,0,522,0,0,53,0,565,100,16,7132,101
LINCOLN SQUARE,5,629,1431,465,2,1030,103,250,1035,0,4,0,5,9,4,13,418,88,0,2,44,0,453,1,0,18,0,175,64,12,2708,45
LOGAN SQUARE,27,1264,2641,995,8,2268,109,379,1697,0,25,1,20,12,9,27,1266,222,0,4,132,1,1121,2,1,72,0,868,119,42,6675,267
LOOP,32,2040,4480,559,11,2302,186,1166,4187,1,24,0,108,26,3,20,1393,439,0,6,43,6,1146,0,3,292,0,1214,183,30,15728,416
LOWER WEST SIDE,27,1075,2089,371,10,1495,78,227,773,0,39,0,19,14,5,18,812,206,0,4,70,1,643,0,2,68,0,511,78,27,2655,393
MCKINLEY PARK,7,356,622,169,6,555,26,65,239,0,13,0,11,6,1,3,226,54,0,1,32,0,204,1,0,12,0,141,20,6,924,165
MONTCLARE,13,216,480,95,1,363,12,52,284,0,4,0,1,5,4,2,232,35,0,1,36,0,245,0,0,7,0,55,14,6,605,75
MORGAN PARK,9,780,1512,306,4,1027,31,173,834,0,28,0,38,4,11,4,589,179,1,4,140,0,642,0,0,46,0,208,35,13,1732,245
MOUNT GREENWOOD,1,170,352,78,2,285,13,80,481,0,0,0,1,4,5,7,102,46,0,3,33,0,249,1,0,5,0,47,19,4,438,24
NEAR NORTH SIDE,21,2701,6381,1042,20,2780,552,1543,5689,2,37,3,123,37,10,90,2186,594,2,4,135,1,1565,5,0,256,0,1634,242,77,18596,946
NEAR SOUTH SIDE,3,830,1612,223,2,935,63,278,1113,1,17,0,25,7,8,15,999,107,0,2,53,1,560,1,1,52,0,275,48,13,2440,209
NEAR WEST SIDE,49,3009,5789,945,17,3981,233,1021,3229,4,71,1,78,30,11,38,2914,624,1,6,167,1,2058,2,1,167,0,1591,183,71,13256,589
NEW CITY,54,2058,4138,559,8,2249,104,282,896,0,75,0,88,16,10,12,975,561,0,6,220,0,1270,0,0,71,0,771,113,26,2938,1127
NORTH CENTER,9,324,598,379,0,638,31,152,861,1,5,0,8,7,2,6,340,40,0,3,27,0,301,1,0,29,0,148,35,8,1990,29
NORTH LAWNDALE,94,3112,7810,701,34,3848,239,505,1356,38,163,4,139,6,20,23,1986,4592,2,3,299,0,2084,31,0,175,0,1529,140,42,4142,2048
NORTH PARK,4,324,630,176,0,421,23,99,504,2,6,1,1,2,0,4,216,40,0,1,40,0,233,1,0,11,0,81,36,6,1046,40
NORWOOD PARK,17,388,834,260,0,577,33,156,1040,0,1,0,8,8,7,3,196,41,1,1,54,0,480,1,0,11,0,75,34,11,1333,22
OAKLAND,3,359,619,65,1,447,17,49,225,0,6,0,7,0,3,2,370,25,0,0,54,0,289,0,0,8,0,124,5,11,577,122
OHARE,8,399,1010,65,192,485,29,551,849,0,0,0,10,2,3,2,458,605,0,2,18,0,454,0,0,95,0,36,34,13,2234,47
PORTAGE PARK,30,1185,2476,595,5,1602,86,262,1370,0,17,3,17,18,14,21,845,224,0,5,158,2,1140,1,0,42,0,309,103,24,2997,180
PULLMAN,6,508,910,156,4,599,21,104,291,2,17,0,18,1,1,1,342,86,1,1,60,0,418,0,0,23,0,114,20,11,840,221
RIVERDALE,9,796,1411,155,1,890,35,109,192,0,28,3,26,1,3,0,389,59,0,0,92,1,463,0,0,15,0,152,25,12,657,353
ROGERS PARK,18,1406,3413,598,1,2122,163,416,1392,2,26,1,39,21,5,13,829,306,0,6,98,2,1087,1,1,47,0,621,123,36,5181,208
ROSELAND,71,2913,5769,1021,16,4097,176,528,1549,5,122,1,137,12,22,6,2099,696,1,5,317,0,2199,65,1,89,0,983,102,39,3856,1691
SOUTH CHICAGO,51,2138,4229,657,10,2643,107,339,857,4,84,0,118,10,25,21,1374,410,1,2,267,0,1452,2,0,63,0,596,78,23,2688,875
SOUTH DEERING,16,977,1518,230,5,1086,28,173,497,0,30,0,35,2,7,9,650,139,0,1,110,0,575,0,0,22,0,255,25,12,1514,357
SOUTH LAWNDALE,63,1754,4148,463,19,2281,134,265,945,0,87,1,56,26,8,24,1038,614,0,4,251,0,1207,6,2,201,0,825,133,22,2715,1170
SOUTH SHORE,63,4023,8814,1799,10,5092,286,661,1897,3,161,0,134,15,25,9,3058,777,0,5,398,1,2635,11,0,120,0,1419,151,61,5898,1461
UPTOWN,19,1493,3072,571,10,1613,174,424,1827,1,20,0,28,14,2,7,793,188,0,5,81,1,909,0,0,63,0,474,121,27,4868,154
WASHINGTON HEIGHTS,35,1302,2536,500,9,1835,69,276,1022,1,43,1,52,6,10,1,1295,297,0,2,142,0,1007,0,0,39,0,461,63,16,2323,532
WASHINGTON PARK,17,1121,2470,308,1,1316,54,154,517,0,47,4,26,9,5,4,941,235,0,2,119,0,807,2,0,27,0,317,42,26,1441,498
WEST ELSDON,10,318,641,225,1,588,17,67,353,0,6,0,3,7,3,1,294,64,0,1,43,0,277,0,0,28,0,146,34,5,733,153
WEST ENGLEWOOD,92,2842,6005,855,35,3289,156,337,999,9,129,3,122,16,18,8,1382,1056,0,1,272,0,1701,86,1,109,0,965,88,24,3352,1803
WEST GARFIELD PARK,75,1691,4580,408,12,2138,137,341,769,19,153,1,135,6,10,13,1258,4187,0,2,141,0,1009,560,0,178,0,1181,59,15,2194,1382
WEST LAWN,11,557,1170,336,2,921,42,98,662,0,8,0,6,10,1,3,525,72,0,3,94,0,467,0,2,22,0,234,49,6,1738,221
WEST PULLMAN,52,1719,3509,973,15,2474,84,277,952,1,96,1,76,5,13,8,1241,360,0,1,208,0,1306,17,1,42,0,453,83,21,2217,1204
WEST RIDGE,27,1199,2768,784,2,2033,92,369,1942,0,21,0,13,16,8,15,979,208,0,8,129,0,979,1,0,40,0,515,129,20,4087,171
WEST TOWN,40,1898,3715,1492,11,3457,179,546,2481,1,40,0,36,19,4,52,2437,300,0,5,117,0,1302,10,2,75,0,1631,173,29,11091,415
WOODLAWN,23,1524,3294,562,6,1951,106,297,844,4,55,0,45,6,13,2,1179,324,1,3,245,0,1003,0,0,77,0,513,64,25,2529,760
